"Firstname","Lastname","gender","Party","Organization","Job","Date_Start","Date_End","Classification","Interval","Income_Min","Income_Max","Edit_URL"
"Eberhard","Gienger","male","CDU","nternationales Wirtschaftsforum Baden-Baden GmbH","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/176722/edit"
"Eberhard","Gienger","male","CDU","FernUniversität in Hagen","Mitglied des Parlamentarischen Beirates","","5/12/2016 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/176723/edit"
"Eberhard","Gienger","male","CDU","Bundesliga-Stiftung","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/176724/edit"
"Eberhard","Gienger","male","CDU","Deutsche Kinderturnstiftung","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/176725/edit"
"Eberhard","Gienger","male","CDU","„Freundeskreis Turnen“ in der STB-Stiftung des Schwäbischen Turnerbundes e.V.","Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/176726/edit"
"Eberhard","Gienger","male","CDU","Heinz Ziehl-Stiftung","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/176727/edit"
"Eberhard","Gienger","male","CDU","Oesophagus-Stiftung für Kinder mit Speiseröhrenfehlbildung","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/176728/edit"
"Eberhard","Gienger","male","CDU","Salto Beirat","Mitglied des Kuratoriums","","8/31/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/176729/edit"
"Eberhard","Gienger","male","CDU","Stiftung Deutsche Sporthilfe (DSH)","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/176730/edit"
"Eberhard","Gienger","male","CDU","Stiftung Sporthilfe Hessen","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/176731/edit"
"Eberhard","Gienger","male","CDU","Wir sind Stuttgart 21 e.V.","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/176732/edit"
"Eberhard","Gienger","male","CDU","Dropit OHG","","","","","0","","","https://www.abgeordnetenwatch.de/node/176733/edit"
"Iris","Gleicke","female","SPD","Deutsche Energie-Agentur GmbH (dena)","Vorsitzende des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177444/edit"
"Iris","Gleicke","female","SPD","Germany Trade and Invest - Gesellschaft für Außenwirtschaft und Standortmarketing mbH","Stellv. Vorsitzender des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177449/edit"
"Iris","Gleicke","female","SPD","Bundesstiftung zur Aufarbeitung der SED-Diktatur","Mitglied des Stiftungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177452/edit"
"Iris","Gleicke","female","SPD","Arbeiter-Samariter-Bund Deutschland e.V.","Mitglied des Präsidiums","","","","0","","","https://www.abgeordnetenwatch.de/node/177453/edit"
"Iris","Gleicke","female","SPD","Zentralverband der Ingenieurvereine ZBI e.V.","Präsidentin","","12/20/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/177456/edit"
"Nicole","Gohlke","female","DIE LINKE","Bundeszentrale für politische Bildung","Mitglied des Kuratoriums","","2/28/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/176812/edit"
"Nicole","Gohlke","female","DIE LINKE","FernUniversität in Hagen","Mitglied des Parlamentarischen Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/176813/edit"
"Nicole","Gohlke","female","DIE LINKE","Deutsches Studentenwerk (DSW)","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/176814/edit"
"Diana","Golze","female","DIE LINKE","Kulturzentrum Rathenow gemeinnützige GmbH","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177927/edit"
"Diana","Golze","female","DIE LINKE","Landkreis Havelland","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/177928/edit"
"Diana","Golze","female","DIE LINKE","Stadt Rathenow","Vorsitzende der Stadtverordnetenversammlung","","","","0","","","https://www.abgeordnetenwatch.de/node/177929/edit"
"Diana","Golze","female","DIE LINKE","Deutsches Kinderhilfswerk e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/177931/edit"
"Diana","Golze","female","DIE LINKE","Kinderstadt Rathenow e.V.","Vorsitzende","","","","0","","","https://www.abgeordnetenwatch.de/node/177932/edit"
"Diana","Golze","female","DIE LINKE","UNICEF Deutschland","Mitglied des Komitees","","","","0","","","https://www.abgeordnetenwatch.de/node/177933/edit"
"Ulrike","Gottschalck","female","SPD","Flughafen GmbH Kassel-Calden","Mitglied des Beirates","","6/25/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179225/edit"
"Ulrike","Gottschalck","female","SPD","Frauen helfen Frauen e.V.","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179228/edit"
"Ulrike","Gottschalck","female","SPD","Flughafen GmbH Kassel-Calden","Mitglied des Beirates","","6/25/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179282/edit"
"Ulrike","Gottschalck","female","SPD","Landkreis Kassel","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/179283/edit"
"Astrid","Grotelüschen","female","CDU","Grotelüschen Immobilien GmbH & Co KG","Geschäftsführerin","","","1","1","""42,000""","""147,000""","https://www.abgeordnetenwatch.de/node/178878/edit"
"Astrid","Grotelüschen","female","CDU","Wirtschaftsförderungsgesellschaft für den Landkreis Oldenburg mbH (WLO)","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178879/edit"
"Astrid","Grotelüschen","female","CDU","Gemeinde Großenkneten","Mitglied des Gemeinderates","","","","0","","","https://www.abgeordnetenwatch.de/node/178880/edit"
"Astrid","Grotelüschen","female","CDU","Landkreis Oldenburg","Mitglied des Kreistages und des Kreisausschusses","","","","0","","","https://www.abgeordnetenwatch.de/node/178881/edit"
"Uli","Grötsch","male","SPD","Landkreis Neustadt an der Waldnaab","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/177538/edit"
"Uli","Grötsch","male","SPD","Markt Waidhaus","Mitglied des Gemeinderates","","","","0","","","https://www.abgeordnetenwatch.de/node/177540/edit"
"Uli","Grötsch","male","SPD","Zweckverband Rettungsdienst & Feuerwehralarmierung Nordoberpfalz","Mitglied der Verbandsversammlung","","","","0","","","https://www.abgeordnetenwatch.de/node/177542/edit"
"Uli","Grötsch","male","SPD","Jugendtagungshaus Stützelvilla","Stellv. Mitglied des Kuratoriums","","12/31/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/177545/edit"
"Uli","Grötsch","male","SPD","Volkshochschule Vohenstrauß e.V.","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177546/edit"
"Markus","Grübel","male","CDU","Esslingen live - Kultur und Kongress GmbH","Mitglied der Gesellschafterversammlung","","12/23/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178008/edit"
"Markus","Grübel","male","CDU","Life Science Fonds Esslingen GmbH & Co. KG","Mitglied des Beirates","","12/23/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178010/edit"
"Markus","Grübel","male","CDU","Robert Bosch Stiftung GmbH","Mitglied des Beirates und des Modellprogramms Engagement braucht Leadership","","12/23/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178011/edit"
"Markus","Grübel","male","CDU","Bürgerstiftung Esslinger Sozialwerk","Mitglied des Kuratoriums","","2/17/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178014/edit"
"Markus","Grübel","male","CDU","Diözese Rottenburg-Stuttgart","Vorsitzender der Kommission sexueller Missbrauch","","1/8/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178015/edit"
"Markus","Grübel","male","CDU","Katholisches Militärbischofsamt","Missbrauchsbeauftragter für die Katholische Militärseelsorge","","1/31/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178016/edit"
"Markus","Grübel","male","CDU","Stadt Esslingen am Neckar","Mitglied des Gemeinderates","","2/17/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178017/edit"
"Markus","Grübel","male","CDU","Stiftung Bundespräsident -Theodor-Heuss-Haus","Stellv. Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/178019/edit"
"Markus","Grübel","male","CDU","Blasmusikverband Esslingen e.V.","Präsident","","","","0","","","https://www.abgeordnetenwatch.de/node/178020/edit"
"Markus","Grübel","male","CDU","Bundesverband Deutscher Stiftungen e.V.","Mitglied des Parlamentarischen Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/178022/edit"
"Markus","Grübel","male","CDU","Caritasverband der Diözese Rottenburg-Stuttgart e.V.","Mitglied des Caritasrates","","1/8/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178024/edit"
"Markus","Grübel","male","CDU","""Freundeskreis der historischen Bürgerwehren, Bürgermilizen und Stadtgarden in Baden-Württemberg""","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/178025/edit"
"Markus","Grübel","male","CDU","Freundeskreis Fregatte Baden-Württemberg e.V.","Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/178026/edit"
"Markus","Grübel","male","CDU","Katholische Arbeitsgemeinschaft für Soldatenbetreuung e.V.","Vorsitzender des Vorstandes","","5/6/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178028/edit"
"Markus","Grübel","male","CDU","Katholische Familienstiftung für Soldaten","Mitglied des Stiftungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178029/edit"
"Manfred","Grund","male","CDU","Deutsch-Kasachische Gesellschaft e.V.","Stellv. Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/177075/edit"
"Manfred","Grund","male","CDU","Deutsch-Moldauisches Forum e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/177076/edit"
"Herlind","Gundelach","female","CDU","ESTA Bildungswerk gemeinnützige GmbH","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178198/edit"
"Herlind","Gundelach","female","CDU","Bund Heimat und Umwelt e.V.","Präsidentin","","","","0","","","https://www.abgeordnetenwatch.de/node/178200/edit"
"Herlind","Gundelach","female","CDU","""Stiftung Arbeit und Umwelt der IG Bergbau, Chemie, Energie""","Stellv. Vorsitzende","","","","0","","","https://www.abgeordnetenwatch.de/node/178201/edit"
"Herlind","Gundelach","female","CDU","Zentralausschuss Hamburgischer Bürgervereine von 1886 e.V.","Präsidentin","","","","0","","","https://www.abgeordnetenwatch.de/node/178202/edit"
"Herlind","Gundelach","female","CDU","Zentralausschuss Hamburgischer Bürgervereine von 1886 e.V.","Präsidentin","","","","0","","","https://www.abgeordnetenwatch.de/node/178203/edit"
"Fritz","Güntzler","male","CDU","Prof. Dr. Ludewig und Partner GmbH","Geschäftsführer","","","1","1","""42,000""","""147,000""","https://www.abgeordnetenwatch.de/node/178265/edit"
"Fritz","Güntzler","male","CDU","Prof. Dr. Ludewig und Sozien","Wirtschaftsprüfer/Steuerberater","","","1","1","""42,000""","""147,000""","https://www.abgeordnetenwatch.de/node/178266/edit"
"Fritz","Güntzler","male","CDU","Quattek & Partner Steuerberatungsgesellschaft","Wirtschaftsprüfer/Steuerberater","","","1","1","""42,000""","""147,000""","https://www.abgeordnetenwatch.de/node/178268/edit"
"Fritz","Güntzler","male","CDU","ANB Energie GmbH","Mitglied des Beirates","","6/22/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178269/edit"
"Fritz","Güntzler","male","CDU","Göttinger Händelfestspiele GmbH","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178271/edit"
"Fritz","Güntzler","male","CDU","Göttinger Sport und Freizeit GmbH & Co. KG","Mitglied des Aufsichtsrates","","11/30/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178272/edit"
"Fritz","Güntzler","male","CDU","Göttinger Symphonieorchester GmbH","Mitglied des Aufsichtsrates","","12/31/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178274/edit"
"Fritz","Güntzler","male","CDU","Grundstücksverwaltung Göttingen mbH","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/178275/edit"
"Fritz","Güntzler","male","CDU","MOORE STEPHENS Frankfurt Consulting AG Wirtschaftsprüfungsgesellschaft i.Gr.","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178276/edit"
"Fritz","Güntzler","male","CDU","Stadtwerke Göttingen AG","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178277/edit"
"Fritz","Güntzler","male","CDU","Steritex KG Schneeweiss 1882 GmbH & Co.","Vorsitzender des Beirates","","1/31/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178278/edit"
"Fritz","Güntzler","male","CDU","Stift am Klausberg-Service GmbH","Mitglied des Beirates","","6/22/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178280/edit"
"Fritz","Güntzler","male","CDU","Evangelisches Stift Alt- und Neu-Bethlehem","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/178281/edit"
"Fritz","Güntzler","male","CDU","Landkreis Göttingen","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/178283/edit"
"Fritz","Güntzler","male","CDU","Norddeutscher Rundfunk (NDR)","Mitglied des Rundfunkrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178284/edit"
"Fritz","Güntzler","male","CDU","Sparkasse Göttingen","Mitglied des Verwaltungsrates und der Zweckverbandsversammlung","","","","0","","","https://www.abgeordnetenwatch.de/node/178285/edit"
"Fritz","Güntzler","male","CDU","Stadt Göttingen","Mitglied des Rates","","11/30/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178287/edit"
"Fritz","Güntzler","male","CDU","Arwed Löseke Hochschul-Stiftung","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/178288/edit"
"Fritz","Güntzler","male","CDU","Institut der Wirtschaftsprüfer e.V. (IDW)","Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178289/edit"
"Olav","Gutting","male","CDU","Gutting Steuerberater und Rechtsanwälte GbR","Rechtsanwalt","1/1/2012 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/178734/edit"
"Olav","Gutting","male","CDU","Gutting Steuerberater und Rechtsanwälte GbR","Rechtsanwalt","1/1/2013 0:00:00","","8","0","""100,000""","""150,000""","https://www.abgeordnetenwatch.de/node/178735/edit"
"Olav","Gutting","male","CDU","Gutting Steuerberater und Rechtsanwälte GbR","Rechtsanwalt","1/1/2015 0:00:00","","7","0","""75,000""","""100,000""","https://www.abgeordnetenwatch.de/node/178736/edit"
"Olav","Gutting","male","CDU","HandwerkMedia AG","Mitglied des Aufsichtsrates","","12/31/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178737/edit"
"Olav","Gutting","male","CDU","Volksbank-Bruhrain-Kraich-Hardt eG","Vorsitzender des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178738/edit"
"Olav","Gutting","male","CDU","Wirsol Solar AG","Vorsitzender des Aufsichtsrates","","4/30/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178739/edit"
"Olav","Gutting","male","CDU","Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin)","Vertrauensmann bei der Wüstenrot Bausparkasse AG","","","","0","","","https://www.abgeordnetenwatch.de/node/178740/edit"
"Olav","Gutting","male","CDU","Institut Mittelstand & Compliance e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/178741/edit"
"Olav","Gutting","male","CDU","Verband der Sparda-Banken e.V.","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/178742/edit"
"Olav","Gutting","male","CDU","Weltliga für Freiheit und Demokratie - Deutschland e.V.","Stellv. Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/178743/edit"
"Olav","Gutting","male","CDU","Brunnen Restaurant UG (haftungsbeschränkt)","","","7/31/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178744/edit"
"Olav","Gutting","male","CDU","Gutting Steuerberater und Rechtsanwälte GbR","","","","","0","","","https://www.abgeordnetenwatch.de/node/178745/edit"
"Christian","Haase","male","CDU","Energie für den Kreis Höxter eG","Vorsitzender des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/178413/edit"
"Christian","Haase","male","CDU","Photovoltaikanlage Grüner Weg GbR","Mitglied der Gesellschafterversammlung","","","","0","","","https://www.abgeordnetenwatch.de/node/178415/edit"
"Christian","Haase","male","CDU","Westfälische Provinzial Versicherung AG","Mitglied des Kommunalen Beirates","","12/31/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178417/edit"
"Christian","Haase","male","CDU","Windpark Twerberg Infrastruktur- und Pool-Verwaltungs GmbH & Co.KG","Mitglied der Gesellschafterversammlung","","","","0","","","https://www.abgeordnetenwatch.de/node/178418/edit"
"Christian","Haase","male","CDU","Agentur für Arbeit Paderborn","Mitglied des Verwaltungsausschusses","","11/8/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178420/edit"
"Christian","Haase","male","CDU","Förderverein Kloster Herstelle","Stellv. Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/178422/edit"
"Christian","Haase","male","CDU","Städte- und Gemeindebund Nordrhein-Westfalen e.V.","Stellv. kooptiertes Mitglied des Präsidiums","","","","0","","","https://www.abgeordnetenwatch.de/node/178424/edit"
"Christian","Haase","male","CDU","Wirtschaftsrat der CDU e.V.","Mitglied der Bundesfachkommissionen","","","","0","","","https://www.abgeordnetenwatch.de/node/178425/edit"
"Christian","Haase","male","CDU","Wirtschaftsrat der CDU e.V.","""Mitglied der Bundesfachkommissionen 'Umwelt' und 'Stadtentwicklung, Bau und Immobilien'""","","","","0","","","https://www.abgeordnetenwatch.de/node/178429/edit"
"Bettina","Hagedorn","female","SPD","Verkehrsinfrastrukturfinanzierungsgesellschaft mbH (VIFG)","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177570/edit"
"Bettina","Hagedorn","female","SPD","Bundeszentrale für politische Bildung","Stellv. Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177571/edit"
"Bettina","Hagedorn","female","SPD","Anny-Trapp-Verein e.V.","Stellv. Vorsitzende","","","","0","","","https://www.abgeordnetenwatch.de/node/177573/edit"
"Bettina","Hagedorn","female","SPD","Deutsches Kinderhilfswerk e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/177576/edit"
"André","Hahn","male","DIE LINKE","OVPS - Oberelbische Verkehrsgesellschaft Pirna-Sebnitz mbH","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177006/edit"
"André","Hahn","male","DIE LINKE","Landkreis Sächsische Schweiz-Osterzgebirge","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/177008/edit"
"Florian","Hahn","male","CSU","IABG - Industrieanlagen-Betriebsgesellschaft mbH","Mitglied des Aufsichtsrates","1/1/2013 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/178403/edit"
"Florian","Hahn","male","CSU","IABG - Industrieanlagen-Betriebsgesellschaft mbH","Mitglied des Aufsichtsrates","1/1/2014 0:00:00","","4","0","""15,000""","""30,000""","https://www.abgeordnetenwatch.de/node/178406/edit"
"Florian","Hahn","male","CSU","Mönch Verlagsgesellschaft mbH","Mitglied des Beirates der Zeitschrift „Wehrtechnik“","","","","0","","","https://www.abgeordnetenwatch.de/node/178409/edit"
"Florian","Hahn","male","CSU","Quantum-Systems GmbH","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/178412/edit"
"Florian","Hahn","male","CSU","Landkreis München","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/178414/edit"
"Florian","Hahn","male","CSU","Universität der Bundeswehr München","Ehrensenator","","","","0","","","https://www.abgeordnetenwatch.de/node/178416/edit"
"Florian","Hahn","male","CSU","Deutsche Gesellschaft für Wehrtechnik e.V.","Mitglied des Präsidiums","","","","0","","","https://www.abgeordnetenwatch.de/node/178419/edit"
"Florian","Hahn","male","CSU","Gesellschaft zum Studium strukturpolitischer Fragen e.V.","Mitglied des Beirates für Sicherheit und Verteidigung","","","","0","","","https://www.abgeordnetenwatch.de/node/178421/edit"
"Florian","Hahn","male","CSU","Interessengemeinschaft Deutsche Luftwaffe e.V.","Vizepräsident","","","","0","","","https://www.abgeordnetenwatch.de/node/178423/edit"
"Florian","Hahn","male","CSU","Max-Planck-Institute für Astrophysik und extraterrestrische Physik","Mitglied des gemeinsamen Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/178426/edit"
"Florian","Hahn","male","CSU","Soldaten und Veteranen Stiftung (SVS)","Stellv. Vorsitzender des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/178427/edit"
"Florian","Hahn","male","CSU","Stiftung Lebenshilfe München","1. Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/178428/edit"
"Florian","Hahn","male","CSU","Verein der Freunde und Förderer der Realschule Neubiberg e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/178430/edit"
"Heike","Hänsel","female","DIE LINKE","DEval - Deutsches Evaluierungsinstitut der Entwicklungszusammenarbeit gemeinnützige GmbH","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/176765/edit"
"Heike","Hänsel","female","DIE LINKE","Friedensplenum/Antikriegsbündnis Tübingen e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/176766/edit"
"Sebastian","Hartmann","male","SPD","Parteivorstand der Sozialdemokratischen Partei Deutschlands","""Seminardurchführung, Training""","1/1/2013 0:00:00","","2","0","""3,500""","""7,000""","https://www.abgeordnetenwatch.de/node/179664/edit"
"Sebastian","Hartmann","male","SPD","Parteivorstand der Sozialdemokratischen Partei Deutschlands","""Seminardurchführung, Training""","1/1/2014 0:00:00","","4","0","""15,000""","""30,000""","https://www.abgeordnetenwatch.de/node/179669/edit"
"Sebastian","Hartmann","male","SPD","BRS Beteiligungsgesellschaft Bonn/Rhein-Sieg mbH","Persönlicher Stellvertreter der Gesellschafterversammlung und Mitglied des Verwaltungsrates","","8/21/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179671/edit"
"Sebastian","Hartmann","male","SPD","Elektrische Bahnen der Stadt Bonn und des Rhein-Sieg-Kreises SSB GmbH","Mitglied der Gesellschafterversammlung","","8/21/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179672/edit"
"Sebastian","Hartmann","male","SPD","EnW Energie und Wasserversorgung Bonn/Rhein-Sieg GmbH","Mitglied des Aufsichtsrates","","3/31/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179673/edit"
"Sebastian","Hartmann","male","SPD","Kreisholding Rhein-Sieg GmbH","Stellv. Vorsitzender der Gesellschafterversammlung","","8/21/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179674/edit"
"Sebastian","Hartmann","male","SPD","""Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen""","Mitglied des Eisenbahninfrastrukturbeirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179675/edit"
"Sebastian","Hartmann","male","SPD","Kreispolizeibehörde Bonn","Persönlicher Stellvertreter des Kreispolizeibeirates","","8/21/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179676/edit"
"Sebastian","Hartmann","male","SPD","Kreissparkasse Köln","Mitglied des Verwaltungsrates","1/1/2015 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/179677/edit"
"Sebastian","Hartmann","male","SPD","Kreissparkasse Köln","Mitglied des Verwaltungsrates","1/1/2016 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/179678/edit"
"Sebastian","Hartmann","male","SPD","Rhein-Sieg-Abfallwirtschaftsgesellschaft AöR","Stellv. Mitglied des Verwaltungsrates","","8/21/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179679/edit"
"Sebastian","Hartmann","male","SPD","Westdeutscher Rundfunk (WDR)","Stellv. Mitglied des Rundfunkrates","","10/31/2016 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179680/edit"
"Sebastian","Hartmann","male","SPD","Zweckverband Verkehrsverbund Rhein-Sieg (ZV VRS)","Persönlicher Stellvertreter der Verbandsversammlung","","8/21/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179681/edit"
"Sebastian","Hartmann","male","SPD","Deutsch-Polnischer Partnerschaftsverein Bornheim-Zawierce e.V.","Stellv. Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/179682/edit"
"Sebastian","Hartmann","male","SPD","Lokalfunk Bonn/Rhein-Sieg e.V.","Mitglied der Vertreterversammlung","","8/21/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179683/edit"
"Sebastian","Hartmann","male","SPD","Region Köln Bonn e.V.","Mitglied der Mitgliederversammlung","","8/21/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179684/edit"
"Sebastian","Hartmann","male","SPD","Rhein-Sieg-Kreis","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/179685/edit"
"Sebastian","Hartmann","male","SPD","Rhein-Sieg-Kreis","Stellv. Landrat","","","","0","","","https://www.abgeordnetenwatch.de/node/179686/edit"
"Sebastian","Hartmann","male","SPD","Rhein-Sieg-Kreis","Fraktionsvorsitzender","","6/30/2014 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179687/edit"
"Mark","Hauptmann","male","CDU","""Beratender Betriebswirt, freiberuflich""","Kunde 1","1/1/2016 0:00:00","","4","0","""15,000""","""30,000""","https://www.abgeordnetenwatch.de/node/178805/edit"
"Mark","Hauptmann","male","CDU","""Beratender Betriebswirt, freiberuflich""","Kunde 1","1/1/2017 0:00:00","","4","0","""15,000""","""30,000""","https://www.abgeordnetenwatch.de/node/178806/edit"
"Mark","Hauptmann","male","CDU","Rhön-Rennsteig-Sparkasse","Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178807/edit"
"Mark","Hauptmann","male","CDU","Stadt Suhl","Mitglied des Stadtrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178808/edit"
"Mark","Hauptmann","male","CDU","Kairos Communication GbR","","","12/31/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178809/edit"
"Matthias","Heider","male","CDU","Rechtsanwalt","Mandant 1","1/1/2014 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/179941/edit"
"Matthias","Heider","male","CDU","Rechtsanwalt","Mandant 1","1/1/2015 0:00:00","","2","0","""3,500""","""7,000""","https://www.abgeordnetenwatch.de/node/179942/edit"
"Matthias","Heider","male","CDU","Rechtsanwalt","Mandant 2","1/1/2014 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/179943/edit"
"Matthias","Heider","male","CDU","Rechtsanwalt","Mandant 2","1/1/2015 0:00:00","","3","0","""7,000""","""15,000""","https://www.abgeordnetenwatch.de/node/179944/edit"
